Date,Open,High,Low,Close,Volume
2025-01-21,,,,,
2025-01-22,,,,,
2025-01-23,,,,,
2025-01-24,,,,,
2025-01-27,,,,,
2025-01-28,,,,,
2025-01-29,,,,,
2025-01-30,,,,,
2025-01-31,,,,,
2025-02-03,,,,,
2025-02-04,,,,,
2025-02-05,,,,,
2025-02-06,,,,,
2025-02-07,,,,,
2025-02-10,,,,,
2025-02-11,,,,,
2025-02-12,,,,,
2025-02-13,,,,,
2025-02-14,,,,,
2025-02-18,,,,,
2025-02-19,,,,,
2025-02-20,,,,,
2025-02-21,,,,,
2025-02-24,,,,,
2025-02-25,,,,,
2025-02-26,,,,,
2025-02-27,,,,,
2025-02-28,,,,,
2025-03-03,,,,,
2025-03-04,,,,,
2025-03-05,,,,,
2025-03-06,,,,,
2025-03-07,,,,,
2025-03-10,,,,,
2025-03-11,,,,,
2025-03-12,,,,,
2025-03-13,,,,,
2025-03-14,,,,,
2025-03-17,,,,,
2025-03-18,,,,,
2025-03-19,,,,,
2025-03-20,,,,,
2025-03-21,,,,,
2025-03-24,,,,,
2025-03-25,,,,,
2025-03-26,,,,,
2025-03-27,,,,,
2025-03-28,,,,,
2025-03-31,,,,,
2025-04-01,,,,,
2025-04-02,,,,,
2025-04-03,,,,,
2025-04-04,,,,,
2025-04-07,,,,,
2025-04-08,,,,,
2025-04-09,,,,,
2025-04-10,,,,,
2025-04-11,,,,,
2025-04-14,,,,,
2025-04-15,,,,,
2025-04-16,,,,,
2025-04-17,,,,,
2025-04-21,,,,,
2025-04-22,,,,,
2025-04-23,,,,,
2025-04-24,,,,,
2025-04-25,,,,,
2025-04-28,,,,,
2025-04-29,,,,,
2025-04-30,,,,,
2025-05-01,,,,,
2025-05-02,,,,,
2025-05-05,,,,,
2025-05-06,,,,,
2025-05-07,,,,,
2025-05-08,,,,,
2025-05-09,,,,,
2025-05-12,,,,,
2025-05-13,,,,,
2025-05-14,,,,,
2025-05-15,,,,,
2025-05-16,,,,,
2025-05-19,,,,,
2025-05-20,,,,,
2025-05-21,,,,,
2025-05-22,,,,,
2025-05-23,,,,,
2025-05-27,,,,,
2025-05-28,,,,,
2025-05-29,,,,,
2025-05-30,,,,,
2025-06-02,,,,,
2025-06-03,,,,,
2025-06-04,,,,,
2025-06-05,,,,,
2025-06-06,,,,,
2025-06-09,,,,,
2025-06-10,10.020000457763672,10.029999732971191,10.0,10.0,11106600.0
2025-06-11,10.005000114440918,10.020000457763672,10.0,10.0,1077600.0
2025-06-12,10.0,10.015000343322754,10.0,10.010000228881836,1110600.0
2025-06-13,10.010000228881836,10.020000457763672,10.0,10.0,354800.0
2025-06-16,10.020000457763672,10.020000457763672,10.0,10.015000343322754,320000.0
2025-06-17,10.020000457763672,10.020000457763672,10.010000228881836,10.015000343322754,419300.0
2025-06-18,10.010000228881836,10.020000457763672,10.005000114440918,10.010000228881836,54800.0
2025-06-20,10.010000228881836,10.019000053405762,10.010000228881836,10.019000053405762,9000.0
2025-06-23,10.010000228881836,10.020000457763672,10.010000228881836,10.015000343322754,40500.0
2025-06-24,10.010000228881836,10.019000053405762,10.010000228881836,10.010000228881836,175000.0
2025-06-25,10.010000228881836,10.015000343322754,10.0,10.0,508300.0
2025-06-26,10.001999855041504,10.010000228881836,10.0,10.005000114440918,126800.0
2025-06-27,10.005000114440918,10.010000228881836,10.0,10.005000114440918,7900.0
2025-06-30,10.010000228881836,10.010000228881836,10.0,10.010000228881836,112000.0
2025-07-01,10.0,10.010000228881836,10.0,10.010000228881836,422000.0
2025-07-02,10.010000228881836,10.010000228881836,10.0,10.010000228881836,117200.0
2025-07-03,10.0,10.015000343322754,10.0,10.005000114440918,10100.0
2025-07-07,10.017999649047852,10.020000457763672,10.010000228881836,10.020000457763672,170500.0
2025-07-08,10.020000457763672,10.020000457763672,10.0,10.010000228881836,78400.0
2025-07-09,10.050000190734863,10.050000190734863,10.050000190734863,10.050000190734863,100.0
2025-07-10,10.015000343322754,10.029999732971191,10.015000343322754,10.020000457763672,12200.0
2025-07-11,10.020000457763672,10.020000457763672,10.010000228881836,10.010000228881836,78800.0
2025-07-14,10.017000198364258,10.020000457763672,10.0,10.0,363300.0
2025-07-15,10.0,10.0,10.0,10.0,8800.0
2025-07-16,10.010000228881836,10.015000343322754,10.0,10.0,75600.0
2025-07-17,10.010000228881836,10.03499984741211,10.010000228881836,10.020000457763672,253700.0
2025-07-18,10.020000457763672,10.020000457763672,10.020000457763672,10.020000457763672,300.0
