Date,Open,High,Low,Close,Volume
2025-01-21,,,,,
2025-01-22,,,,,
2025-01-23,,,,,
2025-01-24,,,,,
2025-01-27,,,,,
2025-01-28,,,,,
2025-01-29,,,,,
2025-01-30,,,,,
2025-01-31,,,,,
2025-02-03,,,,,
2025-02-04,,,,,
2025-02-05,,,,,
2025-02-06,,,,,
2025-02-07,,,,,
2025-02-10,,,,,
2025-02-11,,,,,
2025-02-12,,,,,
2025-02-13,,,,,
2025-02-14,,,,,
2025-02-18,,,,,
2025-02-19,,,,,
2025-02-20,,,,,
2025-02-21,,,,,
2025-02-24,,,,,
2025-02-25,,,,,
2025-02-26,,,,,
2025-02-27,,,,,
2025-02-28,,,,,
2025-03-03,,,,,
2025-03-04,,,,,
2025-03-05,,,,,
2025-03-06,,,,,
2025-03-07,,,,,
2025-03-10,,,,,
2025-03-11,,,,,
2025-03-12,,,,,
2025-03-13,,,,,
2025-03-14,,,,,
2025-03-17,,,,,
2025-03-18,,,,,
2025-03-19,,,,,
2025-03-20,,,,,
2025-03-21,,,,,
2025-03-24,,,,,
2025-03-25,,,,,
2025-03-26,,,,,
2025-03-27,,,,,
2025-03-28,,,,,
2025-03-31,,,,,
2025-04-01,,,,,
2025-04-02,,,,,
2025-04-03,,,,,
2025-04-04,,,,,
2025-04-07,,,,,
2025-04-08,,,,,
2025-04-09,,,,,
2025-04-10,,,,,
2025-04-11,,,,,
2025-04-14,,,,,
2025-04-15,,,,,
2025-04-16,,,,,
2025-04-17,,,,,
2025-04-21,,,,,
2025-04-22,,,,,
2025-04-23,,,,,
2025-04-24,,,,,
2025-04-25,,,,,
2025-04-28,,,,,
2025-04-29,,,,,
2025-04-30,,,,,
2025-05-01,,,,,
2025-05-02,,,,,
2025-05-05,,,,,
2025-05-06,,,,,
2025-05-07,,,,,
2025-05-08,,,,,
2025-05-09,,,,,
2025-05-12,,,,,
2025-05-13,,,,,
2025-05-14,26.586999893188477,26.729999542236328,26.586999893188477,26.586999893188477,200.0
2025-05-15,26.649999618530273,26.700000762939453,26.642000198364258,26.665000915527344,11000.0
2025-05-16,26.649999618530273,26.860000610351562,26.59000015258789,26.80500030517578,2700.0
2025-05-19,26.709999084472656,26.729999542236328,26.700000762939453,26.729999542236328,1500.0
