Date,Open,High,Low,Close,Volume
2025-01-21,74.44999694824219,74.98999786376953,73.97000122070312,74.16000366210938,2194200.0
2025-01-22,74.16000366210938,75.04000091552734,73.51000213623047,74.01000213623047,2098800.0
2025-01-23,73.5999984741211,74.94999694824219,73.16000366210938,74.37999725341797,2135200.0
2025-01-24,74.0,75.41000366210938,73.11000061035156,74.16000366210938,1702400.0
2025-01-27,73.5199966430664,76.52999877929688,73.48999786376953,76.44000244140625,2307500.0
2025-01-28,75.87000274658203,77.54000091552734,75.72000122070312,76.12000274658203,3048000.0
2025-01-29,76.27999877929688,76.80000305175781,75.45999908447266,75.6500015258789,1896600.0
2025-01-30,76.80999755859375,77.52999877929688,75.91000366210938,76.5199966430664,1543200.0
2025-01-31,76.19000244140625,77.43000030517578,76.05999755859375,76.5999984741211,2620800.0
2025-02-03,76.5199966430664,77.9000015258789,76.08000183105469,76.80000305175781,2823300.0
2025-02-04,76.51000213623047,78.0999984741211,76.2300033569336,77.45999908447266,2808900.0
2025-02-05,76.62000274658203,77.95999908447266,75.63999938964844,77.72000122070312,3129300.0
2025-02-06,78.08999633789062,78.38999938964844,77.08999633789062,78.19000244140625,2023300.0
2025-02-07,78.38999938964844,78.38999938964844,77.16999816894531,77.25,2224400.0
2025-02-10,77.72000122070312,77.72000122070312,76.5199966430664,76.97000122070312,1927800.0
2025-02-11,76.20999908447266,77.0,75.29000091552734,76.0,1975300.0
2025-02-12,74.11000061035156,74.52999877929688,72.86000061035156,73.2699966430664,2595800.0
2025-02-13,73.43000030517578,74.0199966430664,72.5199966430664,73.55999755859375,2901000.0
2025-02-14,74.0999984741211,74.45999908447266,73.31999969482422,74.05999755859375,3413100.0
2025-02-18,74.36000061035156,75.62000274658203,73.9000015258789,75.45999908447266,5453500.0
2025-02-19,72.83000183105469,79.31999969482422,72.5,79.20999908447266,7407900.0
2025-02-20,79.20999908447266,79.44999694824219,77.91000366210938,78.33000183105469,4804700.0
2025-02-21,78.33000183105469,79.04000091552734,76.48999786376953,76.79000091552734,4667000.0
2025-02-24,77.44000244140625,77.8499984741211,76.33999633789062,77.48999786376953,4316300.0
2025-02-25,77.47000122070312,77.79000091552734,76.87999725341797,77.5999984741211,3584400.0
2025-02-26,77.2300033569336,78.5999984741211,76.83000183105469,76.91999816894531,3574300.0
2025-02-27,76.63999938964844,76.68000030517578,73.6500015258789,74.36000061035156,4277400.0
2025-02-28,75.62999725341797,76.4000015258789,74.13999938964844,76.25,6197300.0
2025-03-03,76.01000213623047,77.3499984741211,75.19999694824219,75.38999938964844,6448100.0
2025-03-04,75.1500015258789,76.0,74.08000183105469,75.58000183105469,6321700.0
2025-03-05,75.22000122070312,78.19999694824219,75.20999908447266,77.80999755859375,5482500.0
2025-03-06,77.05999755859375,78.56999969482422,76.7699966430664,76.86000061035156,5227300.0
2025-03-07,76.68000030517578,79.66999816894531,75.79000091552734,79.38999938964844,3740900.0
2025-03-10,79.62999725341797,83.02999877929688,79.19000244140625,79.91000366210938,4751900.0
2025-03-11,79.9000015258789,80.05000305175781,76.7300033569336,76.87000274658203,4279100.0
2025-03-12,76.91999816894531,77.22000122070312,75.69000244140625,76.86000061035156,3845000.0
2025-03-13,76.62000274658203,77.56999969482422,75.20999908447266,75.44000244140625,3124200.0
2025-03-14,76.43000030517578,78.91999816894531,75.77999877929688,78.7300033569336,2874400.0
2025-03-17,78.66999816894531,80.7699966430664,78.6500015258789,80.1500015258789,4154800.0
2025-03-18,79.38999938964844,80.47000122070312,78.30000305175781,78.36000061035156,2733700.0
2025-03-19,78.2300033569336,80.01000213623047,77.95999908447266,79.4000015258789,2856900.0
2025-03-20,78.69000244140625,79.8499984741211,78.33999633789062,79.0199966430664,2167900.0
2025-03-21,78.5199966430664,78.72000122070312,77.3499984741211,78.45999908447266,4383500.0
2025-03-24,79.38999938964844,80.68000030517578,79.04000091552734,80.13999938964844,2266200.0
2025-03-25,79.81999969482422,80.69000244140625,79.56999969482422,80.2300033569336,1608000.0
2025-03-26,80.44000244140625,81.16000366210938,79.97000122070312,80.37000274658203,1938600.0
2025-03-27,80.38999938964844,80.86000061035156,79.47000122070312,80.12999725341797,2453100.0
2025-03-28,80.12999725341797,80.19999694824219,78.56999969482422,79.30999755859375,2545000.0
2025-03-31,79.0999984741211,79.76000213623047,78.26000213623047,79.2300033569336,2976900.0
2025-04-01,78.79000091552734,80.26000213623047,78.33000183105469,79.18000030517578,2411300.0
2025-04-02,78.11000061035156,80.30000305175781,78.0,79.91999816894531,2448100.0
2025-04-03,79.80000305175781,79.80000305175781,76.11000061035156,76.3499984741211,3957800.0
2025-04-04,75.93000030517578,76.0,72.55000305175781,72.62000274658203,3882100.0
2025-04-07,76.5,77.94999694824219,72.20999908447266,75.75,7731800.0
2025-04-08,74.52999877929688,77.16000366210938,72.2699966430664,73.2300033569336,5310600.0
2025-04-09,72.23999786376953,79.19999694824219,71.20999908447266,78.69999694824219,5874800.0
2025-04-10,77.30000305175781,77.30000305175781,72.9000015258789,75.41999816894531,3889600.0
2025-04-11,75.2699966430664,77.73999786376953,74.43000030517578,77.38999938964844,2224800.0
2025-04-14,77.69999694824219,79.88999938964844,76.9000015258789,79.52999877929688,2314400.0
2025-04-15,79.66999816894531,81.06999969482422,79.66999816894531,80.51000213623047,2596000.0
2025-04-16,79.83999633789062,80.48999786376953,78.08999633789062,79.0199966430664,2715700.0
2025-04-17,79.75,80.26000213623047,79.01000213623047,79.69999694824219,2033900.0
2025-04-21,78.61000061035156,79.19999694824219,76.91999816894531,77.80999755859375,3355000.0
2025-04-22,78.20999908447266,81.19999694824219,78.20999908447266,80.87000274658203,3339100.0
2025-04-23,82.01000213623047,83.68000030517578,81.63999938964844,81.83000183105469,3089600.0
2025-04-24,81.83000183105469,83.5999984741211,81.3499984741211,83.22000122070312,2308400.0
2025-04-25,82.76000213623047,83.48999786376953,81.87999725341797,82.81999969482422,2295400.0
2025-04-28,82.91999816894531,83.4800033569336,81.0999984741211,81.73999786376953,3945100.0
2025-04-29,81.16000366210938,83.0,80.4000015258789,82.69999694824219,5675400.0
2025-04-30,81.33999633789062,81.5,73.98999786376953,74.16999816894531,12497400.0
2025-05-01,74.73999786376953,77.27999877929688,73.94000244140625,76.58000183105469,5046000.0
2025-05-02,77.80999755859375,78.55999755859375,77.30000305175781,77.95999908447266,3253000.0
2025-05-05,77.30999755859375,78.52999877929688,76.94999694824219,77.0999984741211,2345700.0
2025-05-06,76.41000366210938,76.66000366210938,74.5199966430664,74.58999633789062,2672700.0
2025-05-07,74.5999984741211,75.66999816894531,74.0199966430664,75.33999633789062,3083900.0
2025-05-08,75.72000122070312,76.88999938964844,75.22000122070312,75.8499984741211,2326000.0
2025-05-09,75.93000030517578,76.06999969482422,74.16999816894531,74.56999969482422,2300000.0
2025-05-12,76.72000122070312,76.77999877929688,73.97000122070312,75.37999725341797,3687100.0
2025-05-13,75.37000274658203,76.08999633789062,74.9000015258789,75.18000030517578,2819600.0
2025-05-14,75.16999816894531,76.33000183105469,74.87999725341797,75.69000244140625,2698800.0
2025-05-15,75.87999725341797,76.27999877929688,75.12000274658203,76.05000305175781,2670100.0
2025-05-16,76.62000274658203,77.25,75.8499984741211,76.98999786376953,2618800.0
2025-05-19,75.95999908447266,77.19999694824219,75.7699966430664,76.91000366210938,2939000.0
2025-05-20,76.22000122070312,77.12000274658203,76.05999755859375,76.37000274658203,3421200.0
2025-05-21,75.76000213623047,76.37000274658203,73.95999908447266,73.95999908447266,3073100.0
2025-05-22,73.94999694824219,74.69999694824219,73.29000091552734,74.13999938964844,2980800.0
2025-05-23,73.38999938964844,74.08000183105469,73.25,73.98999786376953,1900400.0
2025-05-27,75.11000061035156,75.25,74.23999786376953,74.61000061035156,2720500.0
2025-05-28,74.66000366210938,75.0,74.1500015258789,74.23999786376953,1870700.0
2025-05-29,74.48999786376953,74.83000183105469,73.45999908447266,74.06999969482422,2135600.0
2025-05-30,74.0,74.01000213623047,71.94000244140625,73.55999755859375,6147200.0
2025-06-02,72.83999633789062,73.41000366210938,71.3499984741211,73.2699966430664,2694800.0
2025-06-03,72.83999633789062,75.75,72.83999633789062,75.69000244140625,3022000.0
2025-06-04,75.80000305175781,77.1500015258789,75.30999755859375,77.05999755859375,3168300.0
2025-06-05,77.20999908447266,79.98999786376953,77.06999969482422,78.19999694824219,3391700.0
2025-06-06,78.73999786376953,79.33999633789062,78.2699966430664,78.5199966430664,2102100.0
2025-06-09,78.79000091552734,79.55999755859375,77.91999816894531,78.91999816894531,1940300.0
2025-06-10,79.0999984741211,81.12000274658203,79.04000091552734,81.06999969482422,2611400.0
2025-06-11,81.0,82.30000305175781,80.73999786376953,81.79000091552734,3456800.0
2025-06-12,81.9000015258789,83.4800033569336,81.70999908447266,82.37000274658203,2928500.0
2025-06-13,81.3499984741211,82.0,80.52999877929688,81.16000366210938,2666700.0
2025-06-16,81.7699966430664,82.88999938964844,81.48999786376953,81.94000244140625,2502200.0
2025-06-17,81.73999786376953,81.97000122070312,79.7300033569336,79.88999938964844,3725400.0
2025-06-18,80.0199966430664,80.47000122070312,79.0199966430664,79.56999969482422,2977600.0
2025-06-20,80.23999786376953,80.9800033569336,79.4800033569336,79.6500015258789,4689600.0
2025-06-23,79.66000366210938,80.18000030517578,79.05999755859375,80.04000091552734,2688600.0
2025-06-24,80.62999725341797,81.5999984741211,80.06999969482422,81.0,2415000.0
2025-06-25,81.08000183105469,81.37999725341797,80.66999816894531,81.26000213623047,3012900.0
2025-06-26,81.5999984741211,81.83999633789062,80.51000213623047,81.5,2536600.0
2025-06-27,81.5,82.0,80.37000274658203,80.76000213623047,3554400.0
2025-06-30,80.68000030517578,81.13999938964844,79.94000244140625,80.4000015258789,2698300.0
2025-07-01,80.4000015258789,82.47000122070312,79.94000244140625,81.91000366210938,3548600.0
2025-07-02,81.56999969482422,81.77999877929688,80.62000274658203,81.41999816894531,2826900.0
2025-07-03,81.7300033569336,82.72000122070312,81.19000244140625,82.12000274658203,1046600.0
2025-07-07,81.7300033569336,81.91999816894531,80.51000213623047,81.5999984741211,2291400.0
2025-07-08,81.5999984741211,83.27999877929688,81.51000213623047,82.83000183105469,2825900.0
2025-07-09,82.83000183105469,84.55000305175781,82.69000244140625,84.5,2025900.0
2025-07-10,84.02999877929688,86.13999938964844,83.55999755859375,86.05000305175781,2521700.0
2025-07-11,85.30000305175781,85.80999755859375,84.76000213623047,85.43000030517578,2361800.0
2025-07-14,85.26000213623047,86.16999816894531,84.80000305175781,85.63999938964844,2005700.0
2025-07-15,85.87000274658203,86.44999694824219,84.04000091552734,84.08999633789062,1861700.0
2025-07-16,84.52999877929688,85.16999816894531,83.37000274658203,85.13999938964844,2004200.0
2025-07-17,,,,,
