Date,Open,High,Low,Close,Volume
2025-01-21,,,,,
2025-01-22,,,,,
2025-01-23,,,,,
2025-01-24,,,,,
2025-01-27,,,,,
2025-01-28,,,,,
2025-01-29,,,,,
2025-01-30,,,,,
2025-01-31,,,,,
2025-02-03,,,,,
2025-02-04,,,,,
2025-02-05,,,,,
2025-02-06,,,,,
2025-02-07,,,,,
2025-02-10,,,,,
2025-02-11,,,,,
2025-02-12,,,,,
2025-02-13,,,,,
2025-02-14,,,,,
2025-02-18,,,,,
2025-02-19,,,,,
2025-02-20,,,,,
2025-02-21,,,,,
2025-02-24,,,,,
2025-02-25,,,,,
2025-02-26,,,,,
2025-02-27,,,,,
2025-02-28,,,,,
2025-03-03,,,,,
2025-03-04,,,,,
2025-03-05,,,,,
2025-03-06,,,,,
2025-03-07,,,,,
2025-03-10,,,,,
2025-03-11,,,,,
2025-03-12,,,,,
2025-03-13,,,,,
2025-03-14,,,,,
2025-03-17,,,,,
2025-03-18,,,,,
2025-03-19,,,,,
2025-03-20,,,,,
2025-03-21,,,,,
2025-03-24,,,,,
2025-03-25,,,,,
2025-03-26,,,,,
2025-03-27,,,,,
2025-03-28,,,,,
2025-03-31,,,,,
2025-04-01,,,,,
2025-04-02,,,,,
2025-04-03,,,,,
2025-04-04,,,,,
2025-04-07,,,,,
2025-04-08,,,,,
2025-04-09,,,,,
2025-04-10,,,,,
2025-04-11,,,,,
2025-04-14,,,,,
2025-04-15,,,,,
2025-04-16,,,,,
2025-04-17,,,,,
2025-04-21,,,,,
2025-04-22,21.94290542602539,21.94290542602539,21.94290542602539,21.94290542602539,100.0
2025-04-23,22.331892013549805,22.331892013549805,22.331892013549805,22.331892013549805,100.0
2025-04-24,22.75579071044922,22.75579071044922,22.75579071044922,22.75579071044922,100.0
2025-04-25,22.90041160583496,22.90041160583496,22.90041160583496,22.90041160583496,100.0
2025-04-28,22.956268310546875,22.956268310546875,22.956268310546875,22.956268310546875,100.0
2025-04-29,23.06099510192871,23.06099510192871,23.06099510192871,23.06099510192871,100.0
2025-04-30,22.740828515350913,23.148767471313477,22.740828515350913,23.148767471313477,100.0
2025-05-01,23.253494262695312,23.253494262695312,23.253494262695312,23.253494262695312,100.0
