Date,Open,High,Low,Close,Volume
2025-01-21,603.1199951171875,609.5,592.5900268554688,605.5800170898438,531100
2025-01-22,607.97998046875,612.1400146484375,602.7100219726562,607.5999755859375,362100
2025-01-23,609.5900268554688,614.5999755859375,602.8099975585938,613.3800048828125,368600
2025-01-24,613.969970703125,615.5,605.2000122070312,610.3200073242188,309800
2025-01-27,597.7899780273438,608.010009765625,587.1400146484375,604.6799926757812,458300
2025-01-28,606.5800170898438,639.3400268554688,604.3699951171875,637.530029296875,548200
2025-01-29,640.0,644.8599853515625,632.1400146484375,639.969970703125,422400
2025-01-30,646.5,657.0,643.5499877929688,653.4299926757812,536700
2025-01-31,655.4400024414062,671.0599975585938,649.760009765625,652.1799926757812,611300
2025-02-03,640.75,671.219970703125,635.5499877929688,658.1099853515625,1001800
2025-02-04,657.1400146484375,674.0,652.5800170898438,662.9099731445312,511500
2025-02-05,662.9099731445312,680.969970703125,662.9099731445312,680.52001953125,459700
2025-02-06,680.989990234375,684.3599853515625,661.0,677.4000244140625,559200
2025-02-07,680.0,689.5399780273438,677.9299926757812,679.239990234375,556200
2025-02-10,684.3200073242188,686.0800170898438,672.0,677.8499755859375,432400
2025-02-11,678.47998046875,678.47998046875,656.719970703125,669.260009765625,421500
2025-02-12,656.489990234375,668.5700073242188,652.260009765625,665.0800170898438,495800
2025-02-13,667.75,671.4400024414062,655.0700073242188,664.7000122070312,356100
2025-02-14,662.5700073242188,686.1699829101562,648.8499755859375,683.4099731445312,694100
2025-02-18,694.02001953125,715.989990234375,691.8599853515625,710.010009765625,1318700
2025-02-19,700.0,705.0999755859375,592.760009765625,593.4199829101562,2319600
2025-02-20,581.0,584.0,521.6599731445312,541.8099975585938,2514000
2025-02-21,551.6599731445312,551.6599731445312,510.5299987792969,513.219970703125,1454500
2025-02-24,516.510009765625,524.3499755859375,496.19000244140625,499.7300109863281,1322600
2025-02-25,498.9100036621094,502.239990234375,480.17999267578125,496.6499938964844,1360300
2025-02-26,584.9500122070312,600.989990234375,558.2100219726562,572.4000244140625,2838000
2025-02-27,575.0,578.8699951171875,521.7000122070312,525.4400024414062,1453900
2025-02-28,526.969970703125,531.3599853515625,514.0399780273438,528.4500122070312,1153700
2025-03-03,532.8400268554688,541.75,520.6699829101562,525.75,875800
2025-03-04,513.8699951171875,543.4099731445312,503.0199890136719,528.280029296875,956100
2025-03-05,529.75,538.97998046875,521.0800170898438,534.9600219726562,944900
2025-03-06,522.8499755859375,526.1900024414062,495.0,499.30999755859375,912300
2025-03-07,500.0,527.9400024414062,500.0,526.4000244140625,1277800
2025-03-10,508.3900146484375,522.0599975585938,501.8500061035156,515.4500122070312,1359900
2025-03-11,518.260009765625,539.1699829101562,509.0,526.6400146484375,975300
2025-03-12,540.3699951171875,560.72998046875,539.1300048828125,557.8900146484375,1215600
2025-03-13,558.8099975585938,569.9500122070312,530.219970703125,534.5599975585938,760600
2025-03-14,544.5499877929688,557.4500122070312,543.8800048828125,556.260009765625,656200
2025-03-17,552.719970703125,563.7000122070312,549.5800170898438,554.8200073242188,664500
2025-03-18,548.7000122070312,555.5800170898438,532.52001953125,539.989990234375,558300
2025-03-19,545.3400268554688,571.4000244140625,542.6500244140625,568.1099853515625,576500
2025-03-20,560.1599731445312,572.8200073242188,556.5,558.4099731445312,524900
2025-03-21,550.6300048828125,562.280029296875,544.3400268554688,560.0,803500
2025-03-24,571.989990234375,574.1599731445312,561.0,572.52001953125,689500
2025-03-25,569.2100219726562,579.6699829101562,566.969970703125,577.1799926757812,439800
2025-03-26,575.5700073242188,578.2000122070312,553.5599975585938,559.0599975585938,521600
2025-03-27,554.780029296875,557.0,540.0,550.6500244140625,374500
2025-03-28,550.4000244140625,550.4000244140625,529.0,534.9500122070312,678200
2025-03-31,522.6699829101562,528.8300170898438,507.0299987792969,525.9500122070312,779100
2025-04-01,521.5900268554688,542.97998046875,520.1900024414062,541.2000122070312,509500
2025-04-02,530.6900024414062,560.2999877929688,530.6900024414062,558.4199829101562,731800
2025-04-03,532.6699829101562,553.5999755859375,528.760009765625,539.6900024414062,661900
2025-04-04,511.260009765625,520.0,486.1000061035156,497.1300048828125,971200
2025-04-07,471.7200012207031,524.8200073242188,469.239990234375,502.54998779296875,1045900
2025-04-08,522.7100219726562,536.8400268554688,497.989990234375,504.0299987792969,942900
2025-04-09,503.1499938964844,567.0399780273438,497.3599853515625,559.8400268554688,1105400
2025-04-10,543.8499755859375,564.3599853515625,534.219970703125,551.25,655700
2025-04-11,549.0,569.0,541.52001953125,567.97998046875,516500
2025-04-14,578.0,590.0,571.719970703125,574.8300170898438,665800
2025-04-15,575.0999755859375,584.1699829101562,572.8200073242188,578.4199829101562,330600
2025-04-16,572.010009765625,581.1099853515625,564.6799926757812,571.8499755859375,368400
2025-04-17,578.2000122070312,578.2000122070312,556.3900146484375,559.530029296875,519600
2025-04-21,550.0,556.6300048828125,531.219970703125,541.9299926757812,478900
2025-04-22,551.3200073242188,561.8099975585938,546.0,555.52001953125,440800
